       
央視頻道,#genre#
CCTV4k超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV8k超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV1綜合,http://107.150.60.122/live/cctv1hd.m3u8
CCTV2財經,http://107.150.60.122/live/cctv2hd.m3u8
CCTV3綜藝,http://107.150.60.122/live/cctv3hd.m3u8
CCTV4中文國際,http://107.150.60.122/live/cctv4hd.m3u8
CCTV4國際美洲,http://k.061899.xyz/k.php?id=cctv4m
CCTV4國際歐洲,http://k.061899.xyz/k.php?id=cctv4o
CCTV5體育,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5體育賽事,http://107.150.60.122/live/cctv5phd.m3u8
CCTV6電影,http://107.150.60.122/live/cctv6hd.m3u8
CCTV7國防軍事,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8電視劇,http://107.150.60.122/live/cctv8hd.m3u8
CCTV9記錄,http://107.150.60.122/live/cctv9hd.m3u8
CCTV10科教,http://107.150.60.122/live/cctv10hd.m3u8
CCTV11戲曲,http://107.150.60.122/live/cctv11hd.m3u8
CCTV12社會與法,http://107.150.60.122/live/cctv12hd.m3u8
CCTV13新聞,http://107.150.60.122/live/cctv13hd.m3u8
CCTV14少兒,http://107.150.60.122/live/cctv14hd.m3u8
CCTV15音樂,http://107.150.60.122/live/cctv15hd.m3u8
CCTV16奧林匹克,http://107.150.60.122/live/cctv16hd.m3u8
CCTV17農業農村,http://107.150.60.122/live/cctv17hd.m3u8
CHC家庭影院,http://k.061899.xyz/k.php?id=jtyy
CHC動作電影,http://k.061899.xyz/k.php?id=dzdy
CHC影迷電影,http://k.061899.xyz/k.php?id=ymdy
CCTV發現之旅,http://k.061899.xyz/k.php?id=fxzl
CCTV中學生,http://k.061899.xyz/k.php?id=zxs
CCTV老故事,http://k.061899.xyz/k.php?id=lgs
CGTN,http://k.061899.xyz/k.php?id=cgtn
CGTN紀錄,http://k.061899.xyz/k.php?id=cgtnjl
CCTV西班牙語,http://k.061899.xyz/k.php?id=cgtne
CCTV法語,http://k.061899.xyz/k.php?id=cgtnf
CCTV阿拉伯語,http://k.061899.xyz/k.php?id=cgtna
CCTV俄語,http://k.061899.xyz/k.php?id=cgtnr
CETV中國教育1,http://k.061899.xyz/k.php?id=cetv1
CETV中國教育2,http://k.061899.xyz/k.php?id=cetv2
CETV中國教育4,http://k.061899.xyz/k.php?id=cetv4
衛視頻道,#genre#
湖南衛視,http://107.150.60.122/live/hnwshd.m3u8
東方衛視,http://107.150.60.122/live/dfwshd.m3u8
浙江衛視,http://107.150.60.122/live/zjwshd.m3u8
江蘇衛視,http://107.150.60.122/live/jswshd.m3u8
重慶衛視,http://107.150.60.122/live/cqwshd.m3u8
東南衛視,http://107.150.60.122/live/dnwshd.m3u8
廣西衛視,http://107.150.60.122/live/gxwshd.m3u8
湖北衛視,http://107.150.60.122/live/hbwshd.m3u8
遼寧衛視,http://107.150.60.122/live/lnwshd.m3u8
山東衛視,http://107.150.60.122/live/sdwshd.m3u8
天津衛視,http://107.150.60.122/live/tjwshd.m3u8
陜西衛視,http://107.150.60.122/live/snwshd.m3u8
廣東衛視,http://107.150.60.122/live/gdwshd.m3u8
深圳衛視,http://107.150.60.122/live/szwshd.m3u8
青海衛視,http://107.150.60.122/live/qhws.m3u8
西藏衛視,http://107.150.60.122/live/xzws.m3u8
大灣區衛視,http://107.150.60.122/live/nfws.m3u8
香港頻道,#genre#
鳳凰中文,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=1&token=2ab6d7cd02005de2
鳳凰資訊,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=2&token=2ab6d7cd02005de2
鳳凰香港,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=3&token=2ab6d7cd02005de2
星空衛視,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=6&token=2ab6d7cd02005de2
美亞電影臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=35&token=2ab6d7cd02005de2
美亞電影臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=36&token=2ab6d7cd02005de2
TVB翡翠臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=7&token=2ab6d7cd02005de2
TVB明珠臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=11&token=2ab6d7cd02005de2
TVB生活臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=12&token=2ab6d7cd02005de2
TVBplus臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=13&token=2ab6d7cd02005de2
黃金翡翠臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=8&token=2ab6d7cd02005de2
無線新聞臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=9&token=2ab6d7cd02005de2
娛樂新聞臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=10&token=2ab6d7cd02005de2
HOY76臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=50&token=2ab6d7cd02005de2
HOY77臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=51&token=2ab6d7cd02005de2
HOY78 臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=52&token=2ab6d7cd02005de2
有線18臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=62&token=2ab6d7cd02005de2
POPC電影,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=46&token=2ab6d7cd02005de2
now爆谷臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=10&token=2ab6d7cd02005de2
now爆谷臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=11&token=2ab6d7cd02005de2
now星影臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=13&token=2ab6d7cd02005de2
now星影臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=14&token=2ab6d7cd02005de2
now華劇臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=15&token=2ab6d7cd02005de2
now集劇臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=16&token=2ab6d7cd02005de2
now資金臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=12&token=2ab6d7cd02005de2
now新聞臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=1&token=2ab6d7cd02005de2
now財經臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=2&token=2ab6d7cd02005de2
now668賽馬,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=17&token=2ab6d7cd02005de2
賽馬88臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=63&token=2ab6d7cd02005de2
SUPER18臺,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=64&token=2ab6d7cd02005de2
viuTV,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=47&token=2ab6d7cd02005de2
TRHT31,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=48&token=2ab6d7cd02005de2
TRHT32,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=49&token=2ab6d7cd02005de2
天映CM+,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=47&token=2ab6d7cd02005de2
天映頻道,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=37&token=2ab6d7cd02005de2
天映經典,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=38&token=2ab6d7cd02005de2
中國電影,http://as.288856.xyz/ashd/proxy/cibn/aio.php?id=40&token=2ab6d7cd02005de2
劇樂酷,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=48&token=2ab6d7cd02005de2
e樂臺,http://as.288856.xyz/ashd/proxy/cibn/aii.php?id=49&token=2ab6d7cd02005de2
