
風雲央衛頻道,#genre#
CCTV1綜合,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV2財經,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV3綜藝,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV4中文國際,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV13新聞,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV14少兒,http://iptv.4666888.xyz/iptv2A.php?id=12
廣東衛視,http://iptv.4666888.xyz/iptv2A.php?id=18
廣東珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
廣東體育,http://iptv.4666888.xyz/iptv2A.php?id=20
湖南衛視,http://iptv.4666888.xyz/iptv2A.php?id=13
浙江衛視,http://iptv.4666888.xyz/iptv2A.php?id=14
江蘇衛視,http://iptv.4666888.xyz/iptv2A.php?id=15
山西衛視,http://iptv.4666888.xyz/iptv2A.php?id=16
青海衛視,http://iptv.4666888.xyz/iptv2A.php?id=17

風雲體育頻道,#genre#
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4
TntSports1,http://iptv.4666888.xyz/iptv2A.php?id=3
智林體育,http://iptv.4666888.xyz/iptv2A.php?id=5
JSPORTS1,http://iptv.4666888.xyz/iptv2A.php?id=6
SkyTennis+,http://iptv.4666888.xyz/iptv2A.php?id=62

風雲港澳頻道,#genre#
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB黃金華劇,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧經典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
TVB-獎門人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB-金曲,http://iptv.4666888.xyz/iptv2A.php?id=57
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娛樂新聞,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
中國電影,http://iptv.4666888.xyz/iptv2A.php?id=61

風雲臺灣頻道,#genre#
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新聞,http://iptv.4666888.xyz/iptv2A.php?id=44
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
愛奇藝,http://iptv.4666888.xyz/iptv2A.php?id=21
靖洋戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
緯來電影,http://iptv.4666888.xyz/iptv2A.php?id=54
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
民視影劇,http://iptv.4666888.xyz/iptv2A.php?id=53
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
臺視綜合,http://iptv.4666888.xyz/iptv2A.php?id=51
東森綜合2,http://iptv.4666888.xyz/iptv2A.php?id=58
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52
韓流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
娛樂百分百,http://iptv.4666888.xyz/iptv2A.php?id=64
綜藝大贏家,http://iptv.4666888.xyz/iptv2A.php?id=65



香港 HongKong,#genre#
TVB翡翠台,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/263ef8e25e9d14599c49b2169d133840/master.m3u8
TVB无线新闻,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/4c1fc85012b63c1b8c4372dee724313d/master.m3u8
TVBJ2,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/ff3511d1d98878c3b9d2c4cb220baa24/master.m3u8
TVB明珠,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/b3ef2974544bd54afed596f2e9cb21cc/master.m3u8
TVB功夫,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/9ef99cc1259a2b2ca534bb73a2a095e2/master.m3u8
TVB戏曲,http://127.0.0.1:17173/51.81.135.253:16000/stream/68411de29d7b91fff88e27bbf62ee0721f3bfd3131721e57-9d4610583e075e422c35ee46eee50a20/22cbdb708feceea350cd1f1053f0b945/master.m3u8
