
央视频道,#genre#
CCTV-1高清,http://183.57.248.146:8183/tsfile/live/0001_1.m3u8
CCTV-2高清,http://183.57.248.146:8183/tsfile/live/0002_1.m3u8
CCTV-3高清,http://183.57.248.146:8183/tsfile/live/0003_1.m3u8
CCTV-4高清,http://183.57.248.146:8183/tsfile/live/0004_1.m3u8
CCTV-5高清,http://183.57.248.146:8183/tsfile/live/0005_1.m3u8
CCTV-6高清,http://183.57.248.146:8183/tsfile/live/0006_1.m3u8
CCTV-7高清,http://183.57.248.146:8183/tsfile/live/0007_1.m3u8
CCTV-8高清,http://183.57.248.146:8183/tsfile/live/0008_1.m3u8
CCTV-9高清,http://183.57.248.146:8183/tsfile/live/0009_1.m3u8
CCTV-10高清,http://183.57.248.146:8183/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://183.57.248.146:8183/tsfile/live/0011_1.m3u8
CCTV-12高清,http://183.57.248.146:8183/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://183.57.248.146:8183/tsfile/live/0013_1.m3u8
CCTV-14高清,http://183.57.248.146:8183/tsfile/live/0014_1.m3u8
CCTV-15高清,http://183.57.248.146:8183/tsfile/live/0015_1.m3u8
CCTV17农业农村,http://183.57.248.146:8183/tsfile/live/0016_1.m3u8


CCTV-1 综合,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://111.221.137.234:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3 综艺,http://111.221.137.234:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际,http://111.221.137.234:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5 体育,http://111.221.137.234:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6 电影,http://111.221.137.234:44330/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7 国防军事,http://111.221.137.234:44330/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8 电视剧,http://111.221.137.234:44330/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9 纪录,http://111.221.137.234:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10 科教,http://111.221.137.234:44330/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11 戏曲,http://111.221.137.234:44330/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12 社会与法,http://111.221.137.234:44330/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13 新闻,http://111.221.137.234:44330/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14 少儿,http://111.221.137.234:44330/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15 音乐,http://111.221.137.234:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+ 体育赛事,http://111.221.137.234:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
CGTN,http://111.221.137.234:44330/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV1,mitv://64.32.9.99:7999/70671333b4fa6ed75fd877ab50203d28.ts
CCTV1,mitv://64.32.9.99:7999/0d3db59df1cfd1229a0f9dad5be9f73b.ts
CCTV1,mitv://64.32.9.99:7999/ba0f175369a486d793c8788c9ce07839.ts
CCTV2,mitv://64.32.9.99:7999/1eae51f1543fc7a32a0cd97bb02263ae.ts
CCTV3,mitv://64.32.9.99:7999/0b1fc3910e44c7b7c3ef4f9d4a35c6bb.ts
CCTV4,mitv://64.32.9.99:7999/ffb2f63e752a19d8aed7f23bd46d8c9c.ts
CCTV4,mitv://64.32.9.99:7999/aa2d11d359d6725db4f314e9b38d3efe.ts
CCTV5,mitv://64.32.9.99:7999/836e210a0291d2e2d6d5121f9cc00366.ts
CCTV5+,mitv://64.32.9.99:7999/792c9256e253f06135f0e4d90100b975.ts
CCTV5,mitv://64.32.9.99:7999/27ca709cee6a50718b5a5540d360fd15.ts
CCTV5+,mitv://64.32.9.99:7999/fd7f098cba974a2a282a183200b089a3.ts
CCTV6,mitv://64.32.9.99:7999/281b49c63d4428d84f95326a09804f0c.ts
CCTV7,mitv://64.32.9.99:7999/d687fa2635f7e76d9f1c30e957c73673.ts
CCTV8,mitv://64.32.9.99:7999/390103b06b11db6b6e2a9c6f32932020.ts
CCTV9,mitv://64.32.9.99:7999/293310f2ec2ad01670e5126fbc1232e6.ts
CCTV10,mitv://64.32.9.99:7999/89bfe49999228872f3a8aef95cddc967.ts
CCTV11,mitv://64.32.9.99:7999/41c338ef3182c7d0bb45d1defaef31e7.ts
CCTV12,mitv://64.32.9.99:7999/5318608cef9a9789252589a1eb3c5102.ts
CCTV13,mitv://64.32.9.99:7999/d960a3d4374cc7bc68218e336932f639.ts
CCTV14,mitv://64.32.9.99:7999/66327fcf3469795d7877634167faf268.ts
CCTV15,mitv://64.32.9.99:7999/396faead99eb0d00a3875e7d6130e54a.ts
CCTV16,mitv://64.32.9.99:7999/83b67e5c0de7f585f4a34e53ae76ba74.ts
CCTV17,mitv://64.32.9.99:7999/5e2083ed0009cedc09562f7469335548.ts
CGTN,mitv://64.32.9.99:7999/3daa03dfd62a70191e75de5104e93fc9.ts
CGTN,mitv://64.32.9.99:7999/5e20c371000647630a4e4a2d57090c6c.ts

卫视频道,#genre#


广东体育高清,http://183.57.248.146:8183/tsfile/live/1000_1.m3u8
广东卫视高清,http://183.57.248.146:8183/tsfile/live/0125_1.m3u8
广东珠江高清,http://183.57.248.146:8183/tsfile/live/1001_1.m3u8
大湾区卫视高清,http://183.57.248.146:8183/tsfile/live/1002_1.m3u8
广东影视高清,http://183.57.248.146:8183/tsfile/live/1004_1.m3u8

安徽卫视,http://183.57.248.146:8183/tsfile/live/0130_1.m3u8
湖南卫视高清,http://183.57.248.146:8183/tsfile/live/1007_1.m3u8
浙江卫视高清,http://183.57.248.146:8183/tsfile/live/1008_1.m3u8
江苏卫视高清,http://183.57.248.146:8183/tsfile/live/1009_1.m3u8
东方卫视高清,http://183.57.248.146:8183/tsfile/live/1010_1.m3u8
金鹰卡通,http://183.57.248.146:8183/tsfile/live/0123_1.m3u8
卡酷动画,http://183.57.248.146:8183/tsfile/live/1003_1.m3u8
风云足球,http://183.57.248.146:8183/tsfile/live/0120_1.m3u8
世界地理,http://183.57.248.146:8183/tsfile/live/1011_1.m3u8
风云剧场,http://183.57.248.146:8183/tsfile/live/1005_1.m3u8
河南卫视,http://183.57.248.146:8183/tsfile/live/0139_1.m3u8
黑龙江卫视,http://183.57.248.146:8183/tsfile/live/0143_1.m3u8
江西卫视,http://183.57.248.146:8183/tsfile/live/0138_1.m3u8
深圳卫视,http://183.57.248.146:8183/tsfile/live/0126_1.m3u8
湖北卫视,http://183.57.248.146:8183/tsfile/live/0132_1.m3u8
重庆卫视,http://183.57.248.146:8183/tsfile/live/0142_1.m3u8
湖南卫视,http://111.221.137.234:44330/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://111.221.137.234:44330/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://111.221.137.234:44330/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://111.221.137.234:44330/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://111.221.137.234:44330/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://111.221.137.234:44330/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://111.221.137.234:44330/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
重温经典,http://111.221.137.234:44330/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://111.221.137.234:44330/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://111.221.137.234:44330/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://111.221.137.234:44330/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://111.221.137.234:44330/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://111.221.137.234:44330/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://111.221.137.234:44330/tsfile/live/0137_2.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://111.221.137.234:44330/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://111.221.137.234:44330/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://111.221.137.234:44330/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://111.221.137.234:44330/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://111.221.137.234:44330/tsfile/live/0118_2.m3u8?key=txiptv&playlive=0&authid=0
廈門衛視,mitv://64.32.9.99:7999/c7256bcbd0a7ab8ca05f62986311d1ea.ts
廣州影視,mitv://64.32.9.99:7999/70a23ed3f9cc2e817e15ea39791ae562.ts
廣州新聞,mitv://64.32.9.99:7999/3095b7041981e237244b726c9574853a.ts
廣州綜合,mitv://64.32.9.99:7999/6a9be6db7f8c872d35bf54e497bfa2ec.ts
廣東影視,mitv://64.32.9.99:7999/d93f882608f8a1143c2cb97103810183.ts
廣東新聞,mitv://64.32.9.99:7999/5262b509e636cfc1870e0fa75b76b3eb.ts
廣東珠江,mitv://64.32.9.99:7999/b00db3755750cb701cde4b8459330f5e.ts
大灣區衛視,mitv://64.32.9.99:7999/5e20b1a5000391d50a08c49b34990e62.ts
廣東衛視,mitv://64.32.9.99:7999/d2c528826c5027fb3f33f87ff38b9f91.ts
廣東體育,mitv://64.32.9.99:7999/a3a09eda8818ef3fbf234ea3dc6d3d29.ts
勁爆體育,mitv://64.32.9.99:7999/a79fd895502dfaf02d413cdb99c058c3.ts
動物星球,mitv://64.32.9.99:7999/95c7e4fa671b3b4408b7ec955fa66b36.ts
北京衛視,mitv://64.32.9.99:7999/c95d55b2b2392ee5862fd224a465efb0.ts
南國都市,mitv://64.32.9.99:7999/5e20665e000bd63808e2b961176a144d.ts
兵團衛視,mitv://64.32.9.99:7999/5e20bd4d000e2f550a364f939389ce5f.ts

咪咕體育,mitv://64.32.9.99:7999/3a78d7aca0db8b26acacf1dc3ab1c881.ts
國興衛視,mitv://64.32.9.99:7999/f2738229b9ee50db13ab977a359835ba.ts


安徽衛視,mitv://64.32.9.99:7999/5da4a7570004db0b0ea4aa9104984367.ts
客家電視,mitv://64.32.9.99:7999/e461fa366e0cb3d40b41f4ec089cb488.ts
尼克兒童臺,mitv://64.32.9.99:7999/6f551118aa255077be0b42d7e804c4a9.ts
山東衛視,mitv://64.32.9.99:7999/d65114a287ecc39b43e0aca2a36d3fbf.ts

影迷數位電影,mitv://64.32.9.99:7999/5e5a34f200087c0f068e31d09894191f.ts
愛奇藝,mitv://64.32.9.99:7999/cdca23900eff43363303ac0953c99769.ts


星空卫视,http://111.221.137.234:44330/tsfile/live/0112_2.m3u8?key=txiptv&playlive=0&authid=0

東南衛視,mitv://64.32.9.99:7999/6158aef0c733ddccb0c5ef944e674b83.ts
東方衛視,mitv://64.32.9.99:7999/b6d4e5b929e53b43dfe5c466adad6843.ts
貴州衛視,mitv://64.32.9.99:7999/4c724af46d994d5ac5c8a5ffafede712.ts

汕頭綜合,mitv://64.32.9.99:7999/5f3c1c51000e013c01197b4eec19f43a.ts
江蘇衛視,mitv://64.32.9.99:7999/eeb54cfe7407dda067ab756d09c66020.ts
江西衛視,mitv://64.32.9.99:7999/44f49696f9599bbba01ccdaca94ac408.ts
河南衛視,mitv://64.32.9.99:7999/c83407ba184aee44bf6cab5a82e52715.ts
浙江衛視,mitv://64.32.9.99:7999/5e20b5e20003da3f0a1952f6d5163746.ts
海南衛視,mitv://64.32.9.99:7999/5dd7f999000b97ae087edf2c9e661748.ts
海峽衛視,mitv://64.32.9.99:7999/a943ed321013ce8adcbaec52370c1987.ts
深圳衛視,mitv://64.32.9.99:7999/fb8891107856c532c4a0d743b9af3321.ts
湖北衛視,mitv://64.32.9.99:7999/af0682e58d38f90b0e1426be8b681f74.ts
湖南衛視,mitv://64.32.9.99:7999/9bd13b44e4015c4f5cf7e3ab513cc657.ts
潮州綜合,mitv://64.32.9.99:7999/5d733f14000481b30518ed178a511ca4.ts
幸福空間居家,mitv://64.32.9.99:7999/2a6bd2f9055a384aa2689dcebdb9a740.ts
CHC動作電影,mitv://64.32.9.99:7999/eaf7056ec04f5a56fcc8c368a54fbe14.ts
CHC家庭影院,mitv://64.32.9.99:7999/ea7792fa10015617a0f308d8c8ffe073.ts
CHC影迷電影,mitv://64.32.9.99:7999/290b6b03283b69566b9874222e7a3e9a.ts

香港频道,#genre#

有線18臺,mitv://64.32.9.99:7999/6544b26fc54d3cd1ba3025316b4f599a.ts
香港國際財經,mitv://64.32.9.99:7999/4518beb11316fa5435966d58daa82584.ts
香港衛視文旅臺,mitv://64.32.9.99:7999/5cf5eeedf43f64226565b0799528e32d.ts
鳳凰衛視中文台,mitv://64.32.9.99:7999/2e1416e03c5d5b88468e6ba1bdf80075.ts
鳳凰資訊,mitv://64.32.9.99:7999/e66ec28b5bdb0f8892cfc046a80d775c.ts
鳳凰資訊,mitv://64.32.9.99:7999/ee987b5f253f85f3ac789fc18266e98d.ts
鳳凰香港,mitv://64.32.9.99:7999/02e951464b17777d78d69d2c83af22c8.ts
凤凰卫视中文台,http://111.221.137.234:44330/tsfile/live/0141_2.m3u8?key=txiptv&playlive=0&authid=0
凤凰卫视中文台-,http://116.77.33.98:44330/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
明珠台,http://116.77.33.98:44330/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
明珠台,http://111.221.137.234:44330/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
明珠台,mitv://64.32.9.99:7999/5e2028b00001210e07f1c6f31464067a.ts
翡翠台,http://111.221.137.234:44330/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
翡翠台,http://116.77.33.98:44330/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
翡翠4K,mitv://64.32.9.99:7999/5a931ed422bf2e182d41abbca438a74b.ts
翡翠台,mitv://64.32.9.99:7999/919d3c4761c9626e5c07d5749ddcc0b5.ts
翡翠台,mitv://64.32.9.99:7999/504c060715cce75a464f812d0fd8213a.ts


翡翠台普通話,mitv://64.32.9.99:7999/078fbe59817efabca3bb86bcb9516838.ts

澳視澳門,mitv://64.32.9.99:7999/d4a0807f063ba50ebfdede327fe9c158.ts
澳視資訊,mitv://64.32.9.99:7999/0d3f54c8f9addf9e18d5f9dac5adae19.ts
無線新聞(265),mitv://64.32.9.99:7999/3b8f1e91f35c8892ef3ee7c53bddd0c9.ts
無線新聞台,mitv://64.32.9.99:7999/5619d5c6d81e1a0a6669a0809742b7ce.ts
RTHK31,mitv://64.32.9.99:7999/2eea15e7df675e74c10e8d7b221a3a4e.ts
RTHK32,mitv://64.32.9.99:7999/3613ab3d9f140045b69be8a11a0de555.ts
TVB Drama(US),mitv://64.32.9.99:7999/5e20b09e000d003c0a04c3add860e706.ts
TVB J1,mitv://64.32.9.99:7999/5e20a0510004121709c5149cf19ddfcb.ts
TVB Plus,mitv://64.32.9.99:7999/f8f98d75876a848366fc2da5a4806d11.ts
TVB Super Free,mitv://64.32.9.99:7999/d869a4d2a2e0c9d6a603ccc401fce3ea.ts
TVB 亞洲武俠,mitv://64.32.9.99:7999/4322129f1f69f0f8ec6af0bcf75e7e57.ts
TVB1(US),mitv://64.32.9.99:7999/5f571aad82248fa7b77a8cb86c99fa3d.ts
TVBS Asia,mitv://64.32.9.99:7999/c7704b7c2ca61e9c4eaf027c428443f1.ts
TVBS ,mitv://64.32.9.99:7999/5e5a50b80003514306faadee4fc55049.ts
TVBS HD,mitv://64.32.9.99:7999/a46030cd390698cf534c68d96861376a.ts
