新凡🍏央卫,#genre#
凡人q群315674141,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c9bvck3c77ucqkhpnfd0&ratio=720p&line=0
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
中天新闻,https://stream1.freetv.fun/1b67bc523c86ffa05707cd3f9471cfe1ced1c17d0537471788e00679a1d6cde3.m3u8




获取密码赞助10米即可,CCTV1,http://ahmaslt.sohu.blog:8000/hls/1/index.m3u8
CCTV-1综合,http://ahmaslt.sohu.blog:8000/hls/1/index.m3u8
CCTV-2财经,http://ahmaslt.sohu.blog:8000/hls/2/index.m3u8
CCTV-3综艺,http://ahmaslt.sohu.blog:8000/hls/3/index.m3u8
CCTV-4国际,http://ahmaslt.sohu.blog:8000/hls/4/index.m3u8
CCTV-5体育,http://ahmaslt.sohu.blog:8000/hls/5/index.m3u8
CCTV-6电影,http://ahmaslt.sohu.blog:8000/hls/6/index.m3u8
CCTV-7军事,http://ahmaslt.sohu.blog:8000/hls/7/index.m3u8
CCTV-8电视,http://ahmaslt.sohu.blog:8000/hls/8/index.m3u8
CCTV-9纪录,http://ahmaslt.sohu.blog:8000/hls/9/index.m3u8
CCTV-10科教,http://ahmaslt.sohu.blog:8000/hls/10/index.m3u8
CCTV-11戏曲,http://ahmaslt.sohu.blog:8000/hls/11/index.m3u8
CCTV-12社法,http://ahmaslt.sohu.blog:8000/hls/12/index.m3u8
CCTV-13新闻,http://ahmaslt.sohu.blog:8000/hls/13/index.m3u8
CCTV-14少儿,http://ahmaslt.sohu.blog:8000/hls/14/index.m3u8
CCTV-15音乐,http://ahmaslt.sohu.blog:8000/hls/15/index.m3u8
CCTV-17农村,http://ahmaslt.sohu.blog:8000/hls/16/index.m3u8
CCTV-5+赛事,http://ahmaslt.sohu.blog:8000/hls/18/index.m3u8
CETV1,http://ahmaslt.sohu.blog:8000/hls/19/index.m3u8
cgtn,http://ahmaslt.sohu.blog:8000/hls/20/index.m3u8
CETV2,http://ahmaslt.sohu.blog:8000/hls/21/index.m3u8
CETV4,http://ahmaslt.sohu.blog:8000/hls/22/index.m3u8
安徽卫视,http://ahmaslt.sohu.blog:8000/hls/23/index.m3u8
安徽卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225886/index.m3u8?servicetype=3&IASHttpSessionId=OTT
安徽卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225701/index.m3u8?servicetype=3&IASHttpSessionId=OTT
安徽卫视,http://182.150.115.26:5003/ahws.m3u8
安徽卫视,http://172.16.31.251:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
