央视,#genre#
CCTV1,http://iptv.cqshushu.com/migu.php?pid=cctv1&token=6d11ce59dc456c34867bdc430f916136
CCTV2,http://iptv.cqshushu.com/migu.php?pid=cctv2&token=6d11ce59dc456c34867bdc430f916136
CCTV3,http://iptv.cqshushu.com/migu.php?pid=cctv3&token=6d11ce59dc456c34867bdc430f916136
CCTV4,http://iptv.cqshushu.com/migu.php?pid=cctv4&token=6d11ce59dc456c34867bdc430f916136
CCTV5,http://iptv.cqshushu.com/migu.php?pid=cctv5&token=6d11ce59dc456c34867bdc430f916136
CCTV5+,http://iptv.cqshushu.com/migu.php?pid=cctv5p&token=6d11ce59dc456c34867bdc430f916136
CCTV6,http://iptv.cqshushu.com/migu.php?pid=cctv6&token=6d11ce59dc456c34867bdc430f916136
CCTV7,http://iptv.cqshushu.com/migu.php?pid=cctv7&token=6d11ce59dc456c34867bdc430f916136
CCTV8,http://iptv.cqshushu.com/migu.php?pid=cctv8&token=6d11ce59dc456c34867bdc430f916136
CCTV9,http://iptv.cqshushu.com/migu.php?pid=cctv9&token=6d11ce59dc456c34867bdc430f916136
CCTV10,http://iptv.cqshushu.com/migu.php?pid=cctv10&token=6d11ce59dc456c34867bdc430f916136
CCTV11,http://iptv.cqshushu.com/migu.php?pid=cctv11&token=6d11ce59dc456c34867bdc430f916136
CCTV12,http://iptv.cqshushu.com/migu.php?pid=cctv12&token=6d11ce59dc456c34867bdc430f916136
CCTV13,http://iptv.cqshushu.com/migu.php?pid=cctv13&token=6d11ce59dc456c34867bdc430f916136
CCTV14,http://iptv.cqshushu.com/migu.php?pid=cctv14&token=6d11ce59dc456c34867bdc430f916136
CCTV15,http://iptv.cqshushu.com/migu.php?pid=cctv15&token=6d11ce59dc456c34867bdc430f916136
CCTV17,http://iptv.cqshushu.com/migu.php?pid=cctv17&token=6d11ce59dc456c34867bdc430f916136
CCTV4欧洲,http://iptv.cqshushu.com/migu.php?pid=cctv4oz&token=6d11ce59dc456c34867bdc430f916136
CCTV4美洲,http://iptv.cqshushu.com/migu.php?pid=cctv4mz&token=6d11ce59dc456c34867bdc430f916136

卫视,#genre#
浙江卫视,http://iptv.cqshushu.com/migu.php?pid=zjws&token=6d11ce59dc456c34867bdc430f916136
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
江苏卫视,http://iptv.cqshushu.com/migu.php?pid=jsws&token=6d11ce59dc456c34867bdc430f916136
东方卫视,http://iptv.cqshushu.com/migu.php?pid=dfws&token=6d11ce59dc456c34867bdc430f916136
广东卫视,http://iptv.cqshushu.com/migu.php?pid=gdws&token=6d11ce59dc456c34867bdc430f916136
湖北卫视,http://iptv.cqshushu.com/migu.php?pid=hubws&token=6d11ce59dc456c34867bdc430f916136
江西卫视,http://iptv.cqshushu.com/migu.php?pid=jxws&token=6d11ce59dc456c34867bdc430f916136
河南卫视,http://iptv.cqshushu.com/migu.php?pid=henws&token=6d11ce59dc456c34867bdc430f916136
陕西卫视,http://iptv.cqshushu.com/migu.php?pid=shxws&token=6d11ce59dc456c34867bdc430f916136
内蒙古卫视,http://iptv.cqshushu.com/migu.php?pid=nmgws&token=6d11ce59dc456c34867bdc430f916136
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8?token=6d11ce59dc456c34867bdc430f916136
大湾区卫视,http://iptv.cqshushu.com/migu.php?pid=dwqws&token=6d11ce59dc456c34867bdc430f916136

超清,#genre#
湖南卫视4K,http://iptv.cqshushu.com/migu.php?pid=hunws4k&token=6d11ce59dc456c34867bdc430f916136
浙江卫视4K,http://iptv.cqshushu.com/migu.php?pid=zjws4k&token=6d11ce59dc456c34867bdc430f916136
江苏卫视4K,http://iptv.cqshushu.com/migu.php?pid=jsws4k&token=6d11ce59dc456c34867bdc430f916136
东方卫视4K,http://iptv.cqshushu.com/migu.php?pid=dfws4k&token=6d11ce59dc456c34867bdc430f916136
北京卫视4K,http://iptv.cqshushu.com/migu.php?pid=bjws4k&token=6d11ce59dc456c34867bdc430f916136
广东卫视4K,http://iptv.cqshushu.com/migu.php?pid=gdws4k&token=6d11ce59dc456c34867bdc430f916136
广东卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146?token=6d11ce59dc456c34867bdc430f916136
深圳卫视4K,http://iptv.cqshushu.com/migu.php?pid=szws4k&token=6d11ce59dc456c34867bdc430f916136
山东卫视4K,http://iptv.cqshushu.com/migu.php?pid=sdws4k&token=6d11ce59dc456c34867bdc430f916136
四川卫视4K,http://iptv.cqshushu.com/migu.php?pid=scws4k&token=6d11ce59dc456c34867bdc430f916136
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8?token=6d11ce59dc456c34867bdc430f916136
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8?token=6d11ce59dc456c34867bdc430f916136

地方,#genre#
卡酷少儿,http://iptv.cqshushu.com/migu.php?pid=kkse&token=6d11ce59dc456c34867bdc430f916136
北京影视,http://iptv.cqshushu.com/migu.php?pid=bjys&token=6d11ce59dc456c34867bdc430f916136
北京文艺,http://iptv.cqshushu.com/migu.php?pid=bjwy&token=6d11ce59dc456c34867bdc430f916136
北京财经,http://iptv.cqshushu.com/migu.php?pid=bjcj&token=6d11ce59dc456c34867bdc430f916136
北京生活,http://iptv.cqshushu.com/migu.php?pid=bjsh&token=6d11ce59dc456c34867bdc430f916136
北京新闻,http://iptv.cqshushu.com/migu.php?pid=bjxw&token=6d11ce59dc456c34867bdc430f916136
北京体育休闲,http://iptv.cqshushu.com/migu.php?pid=bjty&token=6d11ce59dc456c34867bdc430f916136
北京纪实科教,http://iptv.cqshushu.com/migu.php?pid=bjkj&token=6d11ce59dc456c34867bdc430f916136
河南梨园,http://iptv.cqshushu.com/migu.php?pid=henly&token=6d11ce59dc456c34867bdc430f916136
河南新闻,http://iptv.cqshushu.com/migu.php?pid=henxw&token=6d11ce59dc456c34867bdc430f916136
河南都市,http://iptv.cqshushu.com/migu.php?pid=hends&token=6d11ce59dc456c34867bdc430f916136
河南民生,http://iptv.cqshushu.com/migu.php?pid=henms&token=6d11ce59dc456c34867bdc430f916136
河南电视剧,http://iptv.cqshushu.com/migu.php?pid=hendsj&token=6d11ce59dc456c34867bdc430f916136
河南公共,http://iptv.cqshushu.com/migu.php?pid=hengg&token=6d11ce59dc456c34867bdc430f916136
河南法治,http://iptv.cqshushu.com/migu.php?pid=henfz&token=6d11ce59dc456c34867bdc430f916136
河南武术,http://iptv.cqshushu.com/migu.php?pid=henws&token=6d11ce59dc456c34867bdc430f916136
河南睛彩中原,http://iptv.cqshushu.com/migu.php?pid=jczy&token=6d11ce59dc456c34867bdc430f916136
河南移动戏曲,http://iptv.cqshushu.com/migu.php?pid=henxq&token=6d11ce59dc456c34867bdc430f916136
河南文物宝库,http://iptv.cqshushu.com/migu.php?pid=wwbk&token=6d11ce59dc456c34867bdc430f916136
河南象视界,http://iptv.cqshushu.com/migu.php?pid=henxsj&token=6d11ce59dc456c34867bdc430f916136
上海第一财经,http://iptv.cqshushu.com/migu.php?pid=shdycj&token=6d11ce59dc456c34867bdc430f916136
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古农牧,http://play1-qk.nmtv.cn:80/live/1686561299036179.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古新闻综合,http://play1-qk.nmtv.cn/live/1686560423879174.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古少儿,http://play1-qk.nmtv.cn/live/1686560464515368.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古文体娱乐,http://play1-qk.nmtv.cn/live/1686561195713372.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古经济生活,http://play1-qk.nmtv.cn/live/1686562470947181.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古蒙语卫视,http://play1-qk.nmtv.cn/live/1686560387346365.m3u8?token=6d11ce59dc456c34867bdc430f916136
内蒙古蒙语文化,http://play1-qk.nmtv.cn/live/1686561065304370.m3u8?token=6d11ce59dc456c34867bdc430f916136
