新凡🍏央卫,#genre#
凡人群马年特供,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c9bvck3c77ucqkhpnfd0&ratio=720p&line=0
获取密码赞助10米即可,CCTV1,http://114.242.62.109:888/hls/1/index.m3u8
CCTV-1,http://115.29.208.41:30010/fjbst.php?id=165
CCTV-1,http://115.29.208.41:30010/fjbst.php?id=0
CCTV-2,http://115.29.208.41:30010/fjbst.php?id=166
CCTV-4,http://115.29.208.41:30010/fjbst.php?id=167
CCTV-7,http://115.29.208.41:30010/fjbst.php?id=168
CCTV-7,http://115.29.208.41:30010/cctv7.php
CCTV-9,http://115.29.208.41:30010/fjbst.php?id=169
CCTV-10,http://115.29.208.41:30010/fjbst.php?id=170
CCTV-11,http://115.29.208.41:30010/fjbst.php?id=171
CCTV-12,http://115.29.208.41:30010/fjbst.php?id=172
CCTV-13,http://115.29.208.41:30010/fjbst.php?id=173
CCTV-14,http://115.29.208.41:30010/fjbst.php?id=174
CCTV-15,http://115.29.208.41:30010/fjbst.php?id=175
CCTV-17,http://115.29.208.41:30010/fjbst.php?id=176

北京卫视,http://115.29.208.41:30010/fjbst.php?id=196
东方卫视,http://115.29.208.41:30010/fjbst.php?id=179
天津卫视,http://115.29.208.41:30010/fjbst.php?id=191
重庆卫视,http://115.29.208.41:30010/fjbst.php?id=195
广东卫视,http://115.29.208.41:30010/fjbst.php?id=184
深圳卫视,http://115.29.208.41:30010/fjbst.php?id=187
深圳卫视,http://115.29.208.41:30010/hls/szws.m3u8
江苏卫视,http://115.29.208.41:30010/fjbst.php?id=181
江苏卫视,http://115.29.208.41:30010/jstv.php?id=jsws
浙江卫视,http://115.29.208.41:30010/fjbst.php?id=182
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
浙江卫视,http://115.29.208.41:30010/zjtv.php?id=01
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Pnew.m3u8
浙江卫视,http://play-qukan.cztv.com/live/1746687468244305.m3u8
东南卫视,http://115.29.208.41:30010/fjbst.php?id=155
海峡卫视,http://115.29.208.41:30010/fjbst.php?id=163
海峡卫视,http://115.29.208.41:30010/fjtv.php?id=hxws
厦门卫视,http://115.29.208.41:30010/fjbst.php?id=164
湖南卫视,http://115.29.208.41:30010/fjbst.php?id=180
